Team_ID,Full_Team_Name,First_Year,Last_Year,Team_Name
AB2,Indianapolis ABCs,1931,1932,ABCs
ID,Indianapolis ABCs/Detroit Stars,1933,1933,ABCs
ABC,Indianapolis ABCs,1920,1926,ABCs
AG,Akron Black Tyrites,1933,1933,Black Tyrites
ALT,Altoona Mountain City,1884,1884,Mountain City
ANA,Anaheim Angels,1997,2004,Angels
CAL,California Angels,1965,1996,Angels
LAA,Los Angeles Angels of Anaheim,1961,2022,Angels
ARI,Arizona Diamondbacks,1998,2022,Diamondbacks
ATH,Philadelphia Athletics,1876,1876,Athletics
ATL,Atlanta Braves,1966,2022,Braves
BSN,Boston Braves,1876,1952,Braves
MLN,Milwaukee Braves,1953,1965,Braves
AC,Atlantic City Bacharach Giants,1923,1929,Bacharach Giants
BAL,Baltimore Orioles,1954,2022,Orioles
MLA,Milwaukee Brewers,1901,1901,Brewers
SLB,St. Louis Browns,1902,1953,Browns
BBB,Birmingham Black Barons,1924,1948,Black Barons
BBS,Baltimore Black Sox,1923,1934,Black Sox
BCA,Atlanta Black Crackers,1932,1938,Black Crackers
IAB,Indianapolis ABCs,1939,1939,ABCs
BEG,Baltimore Elite Giants,1938,1948,Elite Giants
CEG,Columbus Elite Giants,1935,1935,Elite Giants
NEG,Nashville Elite Giants,1930,1934,Elite Giants
WEG,Washington Elite Giants,1936,1937,Elite Giants
BUF,Buffalo Bisons,1890,1890,Bisons
BUF,Buffalo Buffeds,1914,1915,Buffeds
BLA,Baltimore Orioles,1901,1902,Orioles
BAL,Baltimore Canaries,1872,1874,Canaries
BAL,Baltimore Orioles,1882,1891,Orioles
BLN,Baltimore Orioles,1892,1899,Orioles
BAL,Baltimore Terrapins,1914,1915,Terrapins
BLU,Baltimore Monumentals,1884,1884,Monumentals
BOS,Boston Red Stockings,1871,1875,Red Stockings
BOS,Boston Red Sox,1901,2022,Red Sox
BRG,Brooklyn Royal Giants,1923,1927,Royal Giants
BRA,Brooklyn Atlantics,1872,1875,Atlantics
BOS,Boston Reds,1884,1884,Reds
BRG,Brooklyn Gladiators,1890,1890,Gladiators
BOS,Boston Reds,1890,1891,Reds
BTT,Brooklyn Tip-Tops,1914,1915,Tip-Tops
BUF,Buffalo Bisons,1879,1885,Bisons
BWW,Brooklyn Ward's Wonders,1890,1890,Ward's Wonders
CAG,Chicago American Giants,1920,1948,American Giants
CBB,Columbus Blue Birds,1933,1933,Blue Birds
CBE,Cleveland Buckeyes,1943,1948,Buckeyes
CCB,Cincinnati/Cleveland Buckeyes,1942,1942,Buckeyes
COL,Columbus Buckeyes,1883,1884,Buckeyes
CLV,Cleveland Blues,1879,1884,Blues
CBN,Cleveland Browns,1924,1924,Browns
CCU,Cleveland Cubs,1931,1931,Cubs
CEL,Cleveland Elites,1926,1926,Elites
CEN,Philadelphia Centennials,1875,1875,Centennials
CLE,Cleveland Forest Citys,1871,1872,Forest Citys
CG,Cleveland Giants,1933,1933,Giants
CHC,Chicago Cubs,1876,2022,Cubs
CHI,Chicago Chi-Feds,1914,1915,Chi-Feds
CHI,Chicago Pirates,1890,1890,Pirates
CHT,Cleveland Hornets,1927,1927,Hornets
CHW,Chicago White Sox,1901,2022,White Sox
CIN,Cincinnati Reds,1882,2022,Reds
CKK,Cincinnati Kelly's Killers,1891,1891,Kelly's Killers
CLS,Cleveland Stars,1932,1932,Stars
CLE,Cleveland Guardians,1901,2022,Guardians
CLE,Cleveland Infants,1890,1890,Infants
COL,Columbus Solons,1889,1891,Solons
CLE,Cleveland Blues,1887,1888,Blues
CLV,Cleveland Spiders,1889,1899,Spiders
CHI,Chicago White Stockings,1871,1875,White Stockings
CIN,Cincinnati Reds,1876,1879,Reds
CIN,Cincinnati Reds,1880,1880,Reds
COB,Columbus Buckeyes,1921,1921,Buckeyes
COG,Chicago Giants,1920,1921,Giants
COL,Colorado Rockies,1993,2022,Rockies
COR,Cincinnati Outlaw Reds,1884,1884,Outlaw Reds
COT,Columbus Turf Club,1932,1932,Turf Club
CRS,Cleveland Red Sox,1934,1934,Red Sox
CSE,Cuban Stars East,1923,1929,Stars East
CS,Cincinnati Cuban Stars (West),1921,1921,Cuban Stars (West)
CSW,Cuban Stars West,1920,1930,Stars West
