,0,1,2
13,Jose,Morales,(b)
15,Jose,Reyes,(Bernabe)
23,Covelli,Crisp,/ Coco Crisp
32,Brett,Carroll,(Michael)
43,Josh,Fields,(Dean)
45,Ramon,Castro,(Abraham)
51,Hung-Chih,Kuo,/ Hong-Chih Kuo
53,Fred,Lewis,(Deshaun)
55,Cliff,Lee,(Phifer)
70,Samuel,Gervacio,/ Sammy Gervacio
76,Brian,Roberts,(Michael)
78,Miguel,Montero,(Angel) (b. 1983-07-09)
79,Michael,Morse,/ Mike Morse
82,Chris,Young,(Ryan)
90,Michael,Gonzalez,/ Mike Gonzalez (Vela)
91,Jimmy,Rollins,(Calvin)
103,Chan,Ho,Park
113,Chris,Johnson,(Dalton)
133,Manny,Ramirez,(Aristides)
146,Dan,Meyer,(Livingston)
149,Brett,Anderson,(Franklin)
151,Nelson,Cruz,(Ramon)
154,Jorge,De,La Rosa
201,Nick,Johnson,(Robert)
209,Carlos,Gomez,(Argelis)
222,Matt,Harrison,(Reid)
226,Eric,Young,Jr.
232,John,Baker,(David)
236,Doug,Davis,(N.)
261,Jonathon,Niese,/ Jon Niese
282,Jimmy,Rollins,(Calvin)
287,Brandon,Wood,(a)
288,Ivan,Rodriguez,(b. 1971-11-27)
305,Covelli,Crisp,/ Coco Crisp
310,David,Norris,/ Bud Norris
315,Jim,Johnson,(Robert)
325,Nelson,Cruz,(Ramon)
350,Brett,Anderson,(Franklin)
352,Luis,Castillo,(Antonio)
362,Justin,Coffey,/ Todd Coffey
419,Carlos,Ruiz,(a)
427,Felipe,Paulino,Del Guidice / Felipe Paulino
434,Luis,Montanez,/ Lou Montanez
457,Victor,Martinez,(Jesus)
474,Manny,Ramirez,(Aristides)
485,Fernando,Tatis,Sr.
503,Ramon,Hernandez,(Jose)
522,Doug,Davis,(N.)
524,Mike,Adams,(b)
532,Damaso,Marte,Sr.
541,Manny,Ramirez,(Aristides)
583,John,Martin,/ J.D. Martin (Dale)
586,Magglio,Ordonez,(Jose)
621,Tyler,Greene,(a)
623,Robinson,Tejeda,/ Rob Tejeda
631,Juan,Gutierrez,/ J.C. Gutierrez
633,Carlos,Santana,(b. 1986-04-08)
635,Ryan,Howard,(James)
655,Rich,Thompson,(M.)
657,Kristopher,Medlin,/ Kris Medlin
659,David,Hernandez,(Jose)
660,Aaron,Cook,(Lane)
663,Carlos,Gomez,(Argelis)
665,Carlos,Pena,(Felipe)
714,Nelson,Cruz,(Ramon)
730,Chris,Ray,(Thomas)
739,Tony,Gwynn,Jr. / Anthony Gwynn
755,Alex,Rodriguez,(Enmanuel)
783,Manuel,Corpas,/ Manny Corpas
786,Jerry,Hairston,Jr.
787,Gredlis,Francisco,/ Frank Francisco
794,Ian,Stewart,(a)
897,Jerry,Hairston,Jr.
1018,Manuel,Parra,/ Manny Parra
1025,Henry,Alberto,Rodriguez / Henry Rodriguez (Alberto)
1049,Gredlis,Francisco,/ Frank Francisco
1064,Joe,Smith,(Michael)
1069,John,Baker,(David)
1082,Levi,Burton,/ Jared Burton
1089,Damaso,Marte,Sr.
1105,Aaron,Cook,(Lane)
1139,Ryan,Zimmerman,(Wallace)
1140,Luis,Ayala,(Ignacio)
1148,Robinson,Tejeda,/ Rob Tejeda
1153,Andres,Torres,(Yungo)
1159,Hung-Chih,Kuo,/ Hong-Chih Kuo
1160,Chris,Young,(Ryan)
1163,Justin,Coffey,/ Todd Coffey
1169,Juan,Francisco,(Ramon)
1174,Jared,Schumaker,/ Skip Schumaker
1178,Victor,Martinez,(Jesus)
1200,Jose,Contreras,(Ariel)
1268,Nelson,Cruz,(Ramon)
1273,Chris,Young,(Ryan)
1275,Carlos,Ruiz,(a)
1285,Francisco,Rodriguez,(Jose)
1286,Francisco,Rodriguez,(M.)
1288,Hung-Chih,Kuo,/ Hong-Chih Kuo
1289,Michael,Crotta,/ Mike Crotta
1294,Ike,Davis,(Benjamin)
1300,Magglio,Ordonez,(Jose)
1322,David,Wright,(Allen)
1331,Cesar,Izturis,Sr.
1334,Brian,Roberts,(Michael)
1347,Josh,Johnson,(Rashaad)
1376,Juan,Gutierrez,/ J.C. Gutierrez
1378,Jorge,De,La Rosa
1385,Gerald,Posey,/ Buster Posey
1414,Ramon,Pena,(Antonio)
1415,Tony,Pena,(Ramon Antonio)
1418,Jeff,Baker,(Glen)
1442,Rich,Hill,(Joseph)
1466,Brett,Anderson,(Franklin)
1535,Jose,Morales,(b)
1553,Jeffrey,Marquez,/ Jeff Marquez
1559,Jose,Contreras,(Ariel)
1597,Jerry,Hairston,Jr.
1602,Ryan,Webb,(Christopher)
1626,Jose,Reyes,(Bernabe)
1632,(Ivan),Dereck,Rodriguez
1647,Ramon,Castro,(Abraham)
1652,Alex,Rodriguez,(Enmanuel)
1665,Vladimir,Guerrero,Sr.
1671,(Timothy),Scott,Baker
1675,Juan,Cruz,(Carlos)
1692,Carlos,Gomez,(Argelis)
1703,Carlos,Gonzalez,(Eduardo)
1729,Rickie,Weeks,Jr.
1743,Alberto,Castillo,(b. 1975-07-05)
1760,Rubby,De,La Rosa
1762,Chris,Ray,(Thomas)
1767,Desmond,Figgins,/ Chone Figgins
1776,Zach,Britton,/ Zack Britton (Grant)
1778,Enerio,Del,Rosario
1791,Jose,Reyes,(Bernabe)
1792,Cesar,Izturis,Sr.
1799,(Timothy),Scott,Baker
1810,Dee,Strange-Gordon,/ Dee Gordon
1823,Andres,Torres,(Yungo)
1840,Chris,Davis,(Lyn)
1862,Freddy,Garcia,(Antonio)
1871,Jimmy,Rollins,(Calvin)
1874,(Robert),Nick,Blackburn
1890,Jonathon,Niese,/ Jon Niese
1917,Nelson,Cruz,(Ramon)
2150,Roberto,Hernandez,Heredia
2154,Rubby,De,La Rosa
2159,Victor,Martinez,(Jesus)
2160,Brett,Anderson,(Franklin)
2163,Manuel,Pina,/ Manny Pina
2165,Brian,Roberts,(Michael)
2166,Zach,Britton,/ Zack Britton (Grant)
2176,Felipe,Paulino,Del Guidice / Felipe Paulino
2184,(Steven),Kyle,Waldrop
2185,(Timothy),Scott,Baker
2188,Chris,Carpenter,(John) (b. 1975-04-27)
2189,Jared,Schumaker,/ Skip Schumaker
2190,Jose,De,Paula
2192,Robert,Fish,(Michael)
2198,Michael,Morse,/ Mike Morse
2203,Jose,Contreras,(Ariel)
2204,Justin,De,Fratus
2205,Michael,Martinez,(Gabriel)
2206,Ryan,Howard,(James)
2220,Ivan,DeJesus,Jr. / Ivan De Jesus Jr.
2222,David,Huff,(Gregory)
2233,B.J.,Upton,/ Melvin Upton Jr.
2237,Andrew,Miller,(Mark)
2239,Christopher,Carpenter,/ Chris Carpenter (John) (b. 1985-12-26)
2241,Rich,Hill,(Joseph)
2243,Jordan,Smith,(L.)
2246,Hector,Gomez,(Alexis)
2247,Jorge,De,La Rosa
2249,Blake,Wood,(Daniel)
2260,Andres,Torres,(Yungo)
2272,Justin,Coffey,/ Todd Coffey
2291,Chris,Young,(Brandon)
2305,Cliff,Lee,(Phifer)
2331,Ryan,Zimmerman,(Wallace)
2360,Mariano,Rivera,(a)
2361,Covelli,Crisp,/ Coco Crisp
2366,Alex,Gonzalez,(F.)
2367,Carlos,Gomez,(Argelis)
2374,Aaron,Cook,(Lane)
2393,Juan,Rivera,(Luis)
2399,Brandon,Allen,(Durell)
2401,Jerry,Hairston,Jr.
2411,Mark,Reynolds,(Andrew)
2445,(Robert),Nick,Blackburn
2481,Matt,Carpenter,(Martin)
2493,Ramon,Hernandez,(Jose)
2497,Cesar,Izturis,Sr.
2499,Carlos,Santana,(b. 1986-04-08)
2509,Chad,Tracy,(Austin)
2511,Stuart,Pomeranz,/ Stu Pomeranz
2521,Justin,Turner,(Matthew)
2534,Jared,Schumaker,/ Skip Schumaker
2547,Jose,Contreras,(Ariel)
2560,Gary,Carignan,/ Andrew Carignan
2563,(Luis),Javier,Guerra / (Luis) Javy Guerra
2566,Ramon,Ramirez,(Emilio)
2584,Jaime,Garcia,(Omar)
2585,Henry,Alberto,Rodriguez / Henry Rodriguez (Alberto)
2598,Felipe,Paulino,Del Guidice / Felipe Paulino
2606,Rich,Hill,(Joseph)
2622,Ian,Stewart,(a)
2627,Todd,Smyly,/ Drew Smyly
2636,Robert,Stubbs,/ Drew Stubbs
2646,David,Norris,/ Bud Norris
2699,Gredlis,Francisco,/ Frank Francisco
2731,Nick,Johnson,(Robert)
2752,Justin,Coffey,/ Todd Coffey
2754,Brian,Roberts,(Michael)
2765,Dan,Haren,/ Danny Haren
2767,Dee,Strange-Gordon,/ Dee Gordon
2771,Jesus,Montero,(Alejandro)
2778,Luis,Perez,(Manuel)
2790,Wilberto,Nieves,/ Wil Nieves
2799,Giancarlo,Stanton,/ Mike Stanton (c)
2804,Todd,Smyly,/ Drew Smyly
2822,Jose,Bautista,(Antonio)
2855,Juan,Cruz,(Carlos)
2869,Juan,Carlos,Oviedo / Leo Nunez
2877,Jonathan,Arencibia,/ J.P. Arencibia
2880,Alex,Rodriguez,(Enmanuel)
2923,Henry,Alberto,Rodriguez / Henry Rodriguez (Alberto)
2933,Carlos,Ruiz,(a)
2979,Jerry,Hairston,Jr.
2996,Nick,Green,(Anthony)
3023,Robert,Johnson,/ Rob Johnson (James)
3029,Eric,Young,Jr.
3030,Alejandro,De,Aza
3051,David,Cooper,(Fletcher)
3052,Jose,Bautista,(Antonio)
3080,Kristopher,Negron,/ Kris Negron
3085,Robbie,Ross,Jr.
3122,(Luis),Javier,Guerra / (Luis) Javy Guerra
3158,Cole,DeVries,/ Cole De Vries
3195,Jaime,Garcia,(Omar)
3320,Felipe,Paulino,Del Guidice / Felipe Paulino
3321,Alex,Rodriguez,(Enmanuel)
3328,Chris,Carpenter,(John) (b. 1975-04-27)
3329,Luis,Perez,(Manuel)
3333,Blake,Wood,(Daniel)
3341,Fernando,Rodriguez,Jr.
3345,Miguel,De,Los Santos
3346,Christian,Garcia,(a)
3349,Mark,Rogers,(Elliot)
3369,Andrew,Taylor,(Raymond)
3381,(Timothy),Scott,Baker
3382,Ian,Stewart,(a)
3384,Adam,Eaton,(Cory)
3386,Mariekson,Gregorius,/ Didi Gregorius
3400,Gredlis,Francisco,/ Frank Francisco
3404,Steve,Johnson,(David)
3428,Juan,Carlos,Oviedo / Leo Nunez
3435,Brian,Roberts,(Michael)
3437,Cole,DeVries,/ Cole De Vries
3447,Josh,Fields,(David)
3455,Matt,Harrison,(Reid)
3462,Justin,Miller,(Ryan)
3478,Angel,Sanchez,(Luis)
3503,Julio,Martinez,/ J.D. Martinez
3505,Ryan,Zimmerman,(Wallace)
3531,Manuel,Parra,/ Manny Parra
3541,Mariekson,Gregorius,/ Didi Gregorius
3553,Luis,Ayala,(Ignacio)
3554,Giancarlo,Stanton,/ Mike Stanton (c)
3563,Brett,Anderson,(Franklin)
3564,Covelli,Crisp,/ Coco Crisp
3567,Josh,Johnson,(Michael)
3579,Chris,Young,(Brandon)
3597,Jerry,Hairston,Jr.
3601,James,McDonald,(a)
3610,Miguel,Gonzalez,(Angel)
3629,David,Ross,(Wade)
3660,Jaime,Garcia,(Omar)
3668,Mike,Adams,(b)
3675,Carlos,Ruiz,(a)
3706,John,Gast,(b)
3721,Jose,Contreras,(Ariel)
3737,Edgar,Gonzalez,(Gerardo)
3763,Ramon,Ortiz,(Diogenes)
3779,Steve,Johnson,(David)
3790,William,Hughes,/ Jared Hughes
3808,Matt,Reynolds,(Paul)
3820,Scott,Van,Slyke
3827,Steven,Putnam,/ Zach Putnam
3836,Ryan,Braun,(Joseph)
3861,Justin,Turner,(Matthew)
3862,Jeff,Baker,(Glen)
3864,David,Ross,(Wade)
3878,Jonathon,Niese,/ Jon Niese
3883,Michael,Morse,/ Mike Morse
3885,Mike,Adams,(b)
3893,Dan,Haren,/ Danny Haren
3959,Ryan,Howard,(James)
3968,Andrew,Miller,(Mark)
3987,(William),Alex,Wilson
4005,B.J.,Upton,/ Melvin Upton Jr.
4046,Luis,Cruz,(Alfonso)
4062,Julio,Martinez,/ J.D. Martinez
4089,Miguel,Montero,(Angel) (b. 1983-07-09)
4099,David,Wright,(Allen)
4114,Jesus,Montero,(Alejandro)
4119,Nelson,Cruz,(Ramon)
4129,Carlos,Gonzalez,(Eduardo)
4134,Rickie,Weeks,Jr.
4149,Juan,Perez,(Pablo)
4151,Brandon,Snyder,(Roger)
